详情页链接,详情ID,项目名称,投资项目统一代码,项目类型,项目总投资,项目总投资原始文本,招标内容,招标方式,招标人名称,行政监督部门,发布类型,发布单位,建设地点,建设内容及规模,招标公告预计发布时间,发布时间,交易场所,列表发布日期
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065957.jhtml,1065957,阳城县太岳烈士陵园配套设施建设项目,2509-140522-89-05-637724,房屋市政,2036.87(万元),,施工;主要设备,公开招标,阳城县退役军人事务局,阳城县住房和城乡建设管理局,委托发布,晋城明安工程项目管理有限公司,阳城县凤城镇凤凰西街59号,新建地上2层、地下1层展陈综合楼1栋，总建筑面积约2601.21平方米，配套建设室内外装修、综合管线铺设、消防水池建设、场地铺装等附属工程。,2026年07月,2026-06-17 21:50,省本级,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065941.jhtml,1065941,陵川县昌城供热有限公司大气污染防治升级改造项目,2606-140524-89-05-450856,能源,1039.50(万元),,主要设备;施工;监理;设计,公开招标,陵川县昌城供热有限公司,陵川县住房和城乡建设管理局,委托发布,山西群哲工程项目管理有限公司,山西省晋城陵川县崇文镇仕林苑社区东北方向,1、烟气布袋除尘器升级改造:更换滤袋、袋笼，优化上箱体结构、喷吹系统，提升除尘效率； 2、灰斗储灰输灰系统污染防治升级:新建全封闭密闭房，配套脉冲袋式除尘器，构建“精准点位收集+微负压密闭”体系； 3、石灰粉仓污染防治升级:新建全封闭密闭房，配套脉冲袋式除尘器，解决落料、输送环节粉尘逸散问题； 4、粉煤灰库污染防治升级:升级卸料口密封装置，配套脉冲袋式除尘器，安装快速卷帘门，实现装车过程全封闭； 5、炉渣库污染防治升级:扩建全封闭装车车间，配套风量脉冲袋式除尘器、风幕抑尘装置，适配长车型作业需求； 6、厂区道路扬尘精细化治理升级:采购电动驾驶式扫地车、高压清洗车等，覆盖5203.68㎡厂区道路，实现机械化清扫+常态化抑尘。,2026年07月,2026-06-17 19:50,省本级,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065787.jhtml,1065787,闻喜县涑水新街(西湖路-城西路)道路建设工程,2017-140823-48-01-005196,房屋市政,3658.63(万元),,勘察;设计;施工;监理,公开招标,闻喜县住房和城乡建设管理局,运城市住房和城乡建设局,自主发布,闻喜县住房和城乡建设管理局,涑水新街,"建设规模:闻喜县涑水新街(西湖路-城西路)道路建设工程东起西湖路，西至城西路，道路全长1630.72m。
建设内容:(1)道路工程
本次闻喜县涑水新街(西湖路-城西路)道路建设工程东起西湖路，西至城西路，道路全长1630.72m,道路红线宽38m,横断面采用三幅路形式，其中:机动车道宽14m,非机动车道5m,人行道5m,机非隔离带2m。
(2)排水工程
根据闻喜县总体规划，各条道路敷设雨、污水管道，且采用雨、污分流制。
(3)本工程道路沿线设置交通标志标线、信号灯等相应交通管理设施、照明工程等。",2026年07月,2026-06-17 16:10,运城市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065732.jhtml,1065732,沁源经济技术开发区化工园区突发水污染事件三级防控体系建设项目,2603-140431-89-01-796627,房屋市政,2247.68(万元),,施工,公开招标,沁源经济技术开发区管理委员会,沁源县住房和城乡建设管理局,自主发布,沁源经济技术开发区管理委员会,沁源经济技术开发区化工园区,该项目建设内容包括沁源经济技术开发区化工园区危险化学品运输道路事故应急池及配套管网工程，气盾坝，应急物资配备及在线监测装置接入智慧化监管平台。 在园区二级(园区级)危险化学品运输道路沿线，新建2座事故应急池，配套建设事故水重力流收集管网3.093km、连通明渠0.012km及转输管网0.043km；在三级(流域级)防控对应的乔龙沟河上下游，新建2座手自一体气盾坝，配套建设1座一体化泵站，清水引流管3.225km及排气井等附属工程；完善应急物资，在事故应急池设置液位计，视频监控，手自一体闸阀；在园区排口设置在线监测装置，数据接入园区智慧化平台，实现三级防控系统联网管控。,2026年07月,2026-06-17 14:30,长治市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065717.jhtml,1065717,静乐县赤泥窊乡2026年范家洼村护地工程和滩地改造工程以工代赈项目,2508-140926-89-05-195476,水利,554.60(万元),,施工,公开招标,静乐县赤泥窊乡人民政府,静乐县农业农村局,自主发布,静乐县赤泥窊乡人民政府,静乐县赤泥窊乡范家洼村,项目计划改造滩地26469.77㎡(计39.68亩)，土地改良4771.9㎡(计7.16亩)，滩地护坝2131.2m，河道清淤15738m³等。,2026年07月,2026-06-17 12:00,忻州市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065692.jhtml,1065692,旧台怀街至光明寺村农村道路建设工程(一期),2603-140971-89-01-404382,交通,3192.07(万元),,施工,公开招标,五台山风景名胜区旅游和交通发展中心,忻州市交通运输局,自主发布,五台山风景名胜区旅游和交通发展中心,五台山风景名胜区台怀镇集福寺停车场-黛螺顶桥,"本 ⼯ 程 南 起 黛 螺 顶 桥 , 北 ⾄ 集 福寺 停 车 场 , 道 路 总 长 0 . 9 公 ⾥ , 路 基 宽 度 7 m , 采 ⽤ 四 级 公 路技 术 标 准 , 设 计 速 度 为 2 0 k m / h ｡ 主 要 建 设 内 容 包 括 路 基 ⼯ 程 ､ 路 ⾯ ⼯ 程 ､ 涵 洞 ⼯ 程 ､ 交 叉 ⼯ 程 以 及 交 通 安 全 设 施 ､ 照 明 和绿 植 等 配 套 ⼯ 程 ｡",2026年07月,2026-06-17 11:10,忻州市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065691.jhtml,1065691,垚子村至东台沟农村公路改扩建工程,2603-140971-89-01-105403,交通,2115.17(万元),,施工,公开招标,五台山风景名胜区旅游和交通发展中心,忻州市交通运输局,自主发布,五台山风景名胜区旅游和交通发展中心,五台山风景名胜区台怀镇垚子村至东台沟村,"本 项 ⽬ 路 线 全 长 2 . 9 4 k m , 其 中 垚⼦ 村 ⾄ 东 台 沟 道 路 主 线 路 线 长2 . 4 8 8 k m , 主 K 0 + 0 0 0 - K 0 + 3 1 5 . 8段 维 持 原 既 有 村 道 技 术 标 准 不 变 , 其 余 段 落 采 ⽤ 四 级 I 类 公路 技 术 标 准 , 设 计 速 度 1 5 公 ⾥ / ⼩ 时 , 双 向 两 车道 , 路 基 宽7 . 5 ⽶ ; ⼤ 光 明 寺 中 桥 采 ⽤ 3 × 1 3 m 钢 筋 混 凝 ⼟ 现 浇 实 ⼼ 板 梁 ,桥 梁 长0 . 0 5 1 k m , 荷 载 等 级 为 公 路 - II 级 ; 桥 头 引 道 路 线 长度0 . 4 0 1 k m , 采 ⽤ 四 级 I 类 公 路 技 术 标 准 , 设 计 速 度 1 5 公 ⾥ /⼩ 时 , 双 向 两 车 道 , 路 基 宽 度 7 . 5 ⽶ ｡ 主 要 建 设 内 容 包 括 路基 ⼯ 程 ､ 路 ⾯ ⼯ 程 ､ 桥 梁 涵 洞 ⼯ 程 ､ 交 叉 ⼯ 程 以 及 交 通 安 全设 施 ､ 照 明 和 绿 植 等 配 套 ⼯ 程 ｡",2026年07月,2026-06-17 11:10,忻州市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065637.jhtml,1065637,高都镇大兴小米种植基地项目,2512-140525-89-05-130126,农业,700.00(万元),,施工;,公开招标,泽州县高都镇大兴村股份经济合作社,泽州县农业农村局,委托发布,山西筑诚工程管理有限公司,泽州县高都镇大兴村,总占地面积5204平方米。种植有机小米200亩，年加工量约2000吨。新建库房、农机具房、看护房、晾晒场、生活用房、烘干房及附属设施。机械设备配套设施有:碾米机、烘干机、包装机。,2026年07月,2026-06-17 09:25,晋城市,2026/06/17
https://prec.sxzwfw.gov.cn/jyxxzbjh/1065622.jhtml,1065622,绛县避难场所及防灾减灾基地提升改造建设项目,2606-140826-89-01-982447,房屋市政,613.68(万元),,施工,公开招标,绛县应急管理局,绛县住房和城乡建设管理局,自主发布,绛县应急管理局,绛县古绛镇、安峪镇、横水镇,建设内容:新建工程、改造工程、装饰工程、室内给排水工程、单体消防工程、暖通工程、电气工程等相关配套设施。建设规模:古绛镇乡镇应急避难场所进行改造1处，占地面积为299.14㎡，建筑面积为299.14㎡。新建横水镇应急避难场所1处，占地面积为222.06㎡，建筑面积为431.32㎡。新建安峪镇应急避难场所1处，占地面积为222.06㎡。建筑面积为431.32㎡。提升宣教培训基地基础设施，该基地建筑面积为200㎡。,2026年07月,2026-06-17 09:15,运城市,2026/06/17
