项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
云冈区鸦儿崖乡常流水村生态修复项目(2标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1063548.jhtml,山西冶金岩土工程勘察有限公司、山西省第九地质工程勘察院有限公司、山西省地质工程勘察院有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065758.jhtml,山西冶金岩土工程勘察有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066490.jhtml,暂无,云冈区鸦儿崖乡常流水村生态修复项目(2标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1065758.jhtml；云冈区鸦儿崖乡常流水村生态修复项目(2标段)二次招标公告延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1063548.jhtml；云冈区鸦儿崖乡常流水村生态修复项目(2标段)招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1059436.jhtml；云冈区鸦儿崖乡常流水村生态修复项目(2标段)招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1050784.jhtml；云冈区鸦儿崖乡常流水村生态修复项目(2标段)中标结果公示|https://prec.sxzwfw.gov.cn/jyxxgcgs/1066490.jhtml
阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026-05-21 12:50,2026年5月21日18时00分至2026年5月26日18时00分,001标段（包）121508工作面巷道工程、井下智能分选及矸石处置系统工程，该标段中投标人资格能力要求：资质要求：3.1投标人应为中华人民共和国境内注册的独立法人，具有独立承担民事责任的能力。3.2投标人须具备建设行政主管部门颁发的矿山工程施工总承包一级及以上资质，建设行政主管部门颁发的安全生产许可证。人员要求：3.3项目经理须具备矿业工程专业一级注册建造师执业资格（须附使用时限内的电子证书且本人签字）、建设行政主管部门颁发的安全生产考核合格证书（B证）；项目经理须是本单位在册人员，提供社保证明（投标截止时间前6个月内任意一次社会保险缴纳证明），且在本招标项目计划工期内不担任其他在建项目的工程总承包项目经理(或施工负责人)、施工项目的项目经理（提供承诺函，承诺函格式见第八章“投标文件格式”）；业绩要求：3.4 投标人业绩要求：投标人近年具有1项类似业绩。近年指：2021年4月1日至投标截止日【工程总承包、施工业绩，指工程（或单位工程）竣工验收在此期间】类似业绩指：煤与瓦斯突出矿井井巷工程的工程总承包（或施工）业绩。【注：巷修、铺底、注浆等附属工程不属于类似业绩】类似业绩证明需要提供的材料：一个完整的类似业绩需同时具备合同协议书、工程（或单位工程）竣工验收合格（或验收通过）的证明、与类似业绩对应的任意一张有效结算发票【附发票及对应发票的“国家税务总局全国增值税发票查验平台”（或“全国统一规范电子税务局”）查询结果】。合同复印件须至少包含：合同双方盖章页、承包内容及业绩要求的关键信息等内容。竣工验收证明至少包含验收日期、验收结论、盖章页，且至少须经建设单位、监理单位、施工单位、设计单位参与验收盖章。发票要求：发票复印件的发票号码、开票日期、金额须清晰可查。【注1】如以上证明材料不能体现煤与瓦斯突出矿井的，还需提供:能源局（或煤炭行业主管部门）公示的煤与瓦斯突出矿井信息，或上级集团公司批复的煤与瓦斯突出矿井鉴定(或认定结论材料）；信誉要求：3.5投标人不得被市场监督管理机关在“国家企业信用信息公示系统”（www.gsxt.gov.cn）中列入“严重违法失信名单（黑名单）”；投标人在“信用中国”网站（www.creditchina.gov.cn）不得存有严重失信记录、不得被列入“安全生产严重失信主体名单”、“拖欠农民工工资失信联合惩戒对象名单”；投标人法定代表人在“信用中国”网站（www.creditchina.gov.cn）不得被列入“安全生产严重失信主体名单（自然人）”；（须提供招标文件第八章投标文件格式中“信誉材料”要求的证明材料）本项目不允许联合体投标。,https://prec.sxzwfw.gov.cn/jyxxgczb/1056935.jhtml,暂无,山西宏厦第一建设有限责任公司、浙江中宇实业发展有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064869.jhtml,山西宏厦第一建设有限责任公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066488.jhtml,暂无,阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064869.jhtml；阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056935.jhtml；阳泉市南庄煤炭集团有限责任公司西上庄煤矿121508工作面巷道工程、井下智能分选及矸石处置系统工程中标结果公示|https://prec.sxzwfw.gov.cn/jyxxgcgs/1066488.jhtml
山西省昌源河幸福河湖信息化建设项目二次招标,晋中市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,中移系统集成有限公司、山西中博新创科技有限公司、山西禹水科技有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1065510.jhtml,中移系统集成有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066486.jhtml,暂无,山西省昌源河幸福河湖信息化建设项目二次招标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1065510.jhtml；山西省昌源河幸福河湖信息化建设项目二次招标中标结果公示|https://prec.sxzwfw.gov.cn/jyxxgcgs/1066486.jhtml
