项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
玖方古交共享储能示范站项目(一期),太原市,2307-140181-89-05-944705,能源,设计;施工;监理;主要设备;重要材料,山西宏盛数能科技有限公司,自主发布,太原市古交市,一期用地面积54.1678亩。建设100MW/200Mh的电化学储能系统。电化学储能系统采用磷酸铁锂电池，其中包括一套35KV配电装置和集中控制系统和220KV升压站一座，运维站一座，送出线路工程及对侧站间隔扩建。,23000.00（万元）,公开招标,古交市能源局,山西宏盛数能科技有限公司,2026/05/15,2026年05月15日16时30分至结束时间2026年05月22日16时30分(北京时间）获取方法：登录《全国公共资源交易平台（山西省太原市）》（ggzy.xz,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055401.jhtml,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063213.jhtml,天津康隆建设有限公司（牵头人）/山东雍乾建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064790.jhtml,暂无,玖方古交共享储能示范站项目(一期)|https://prec.sxzwfw.gov.cn/jyxxzbjh/1049544.jhtml；玖方古交共享储能示范站项目(一期)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055401.jhtml；玖方古交共享储能示范站项目(一期)|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063213.jhtml
灵丘县100MW风电能源基地融合项目220kV送出线路工程（EPC）总承包(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026-05-20 00:00   --     2026-05-25 00:00,001灵丘县100MW风电能源基地融合项目220kV送出线路工程（EPC）总承包: 3.1资质要求：（1）具有独立法人资格，拥有有效的营业执照；（2）工程设计综合类甲级资质或工程设计电力行业设计乙级及以上资质或工程设计电力行业（送电）专业乙级或以上资质；（3）具有有效的电力工程施工总承包二级及以上资质或输变电工程专业承包二级及以上资质，并具有有效的安全生产许可证；（4）电力承装（修、试）二级及以上电力设施许可证。3.2业绩要求：（1）投标人近三年（2023年5月1日至,https://prec.sxzwfw.gov.cn/jyxxgczb/1056328.jhtml,暂无,河南瑞恒电子工程有限公司;山西晋开电力科技有限公司、河南达能建设有限公司;智宇电力设计集团有限公司、中原豫安建设工程有限公司;华夏新时代电力工程勘测设计有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063457.jhtml,河南瑞恒电子工程有限公司;山西晋开电力科技有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064787.jhtml,暂无,灵丘县100MW风电能源基地融合项目220kV送出线路工程（EPC）总承包(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056328.jhtml；灵丘县100MW风电能源基地融合项目220kV送出线路工程（EPC）总承包(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063457.jhtml
沁水县水电有限公司水电自供区农网升级改造工程（EPC）,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/06,2026年5月6日18时00分至2026年5月11日18时00分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1051222.jhtml,暂无,山西八建集团有限公司和天元瑞信通信技术股份有限公司联合体单位、山西中规电力工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063646.jhtml,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064785.jhtml,暂无,沁水县水电有限公司水电自供区农网升级改造工程（EPC）招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1051222.jhtml；沁水县水电有限公司水电自供区农网升级改造工程（EPC）中标候选人公示更正|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063646.jhtml；沁水县水电有限公司水电自供区农网升级改造工程（EPC）中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063467.jhtml
山西潞安集团司马煤业有限公司配采项目矿建（三期）工程（二次）项目重新招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/19,2026年5月19日16时00分至2026年5月25日16时00分（北京时间）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1056201.jhtml,暂无,湖南明峰建设工程有限公司、浙江中宇实业发展有限公司、山冶鑫拓工程项目管理有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063255.jhtml,湖南明峰建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064774.jhtml,暂无,山西潞安集团司马煤业有限公司配采项目矿建（三期）工程（二次）项目重新招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1056201.jhtml；山西潞安集团司马煤业有限公司配采项目矿建（三期）工程（二次）项目重新招标中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063255.jhtml
西贾北街雨水管网改造及排水通道打通工程（施工）(西贾北街雨水管网改造及排水通道打通工程（施工）第二标段),综改示范区,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西五建集团有限公司、山西四建集团有限公司、山西机械化建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1062825.jhtml,山西五建集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064773.jhtml,暂无,西贾北街雨水管网改造及排水通道打通工程（施工）(西贾北街雨水管网改造及排水通道打通工程（施工）第二标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1062825.jhtml
阳高县省道S202—中联大数据农村公路改造工程施工(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026-05-15 17:00   --     2026-05-22 17:00,001阳高县省道S202—中联大数据农村公路改造工程施工: 3.1投标人资格能力要求：投标人应在中华人民共和国境内注册，持有有效的企业法人营业执照、须具备住房和城乡建设行政主管部门颁发的有效的公路工程施工总承包叁级以上（含叁级）资质，取得住房和城乡建设行政主管部门颁发的有效的建筑施工企业安全生产许可证，并在专业技术、人员组成及设备、资金、经验等方面具有相应的施工能力；无拖欠农民工工资劣迹。拟任项目经理资格的要求：须具备公路工程相关专业中级及以上职称，具有公路工程专业二级及以上注册建造师证书，并同时持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。拟任项目总工资格的要求：须具备公路工程相关专业中级及以上职称，持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。拟任专职安全生产管理员资格的要求：须具备公路工程相关专业初级及以上职称，具有住房和城乡建设行政主管部门或交通运输主管部门颁发的安全生产考核合格证书（C证），无在建项目。3.2与招标人存在利害关系可能影响招标公正性的单位，不得参加投标。3.3投标人具有下列情况之一的，不得同时参与投标，否则相关投标均无效：①单位负责人为同一人或者存在控股、管理关系的不同单位；②对招投标造成影响的具有投资参股关系的关联企业；③董事、监事、总经理、副总经理和财务负责人相互兼职的关联企业；④法律法规规章规定的具有关联关系的其他情形。3.4投标人受到有关行政,https://prec.sxzwfw.gov.cn/jyxxgczb/1055407.jhtml,暂无,山西环宇建筑工程有限公司、山西泽汾路桥有限公司、山西恒源路桥建设有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063799.jhtml,山西环宇建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064772.jhtml,暂无,阳高县省道S202—中联大数据农村公路改造工程施工(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055407.jhtml；阳高县省道S202—中联大数据农村公路改造工程施工(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063799.jhtml
阳高县2026年许家园—孤山村线、兴隆巷—花窑、下辛庄—长神线等7条线路农村公路改造工程施工(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/15,2026-05-15 17:00   --     2026-05-22 17:00,001阳高县2026年许家园—孤山村线、兴隆巷—花窑、下辛庄—长神线等7条线路农村公路改造工程施工: 3.1投标人资格能力要求：投标人应在中华人民共和国境内注册，持有有效的企业法人营业执照、须具备住房和城乡建设行政主管部门颁发的有效的公路工程施工总承包叁级以上（含叁级）资质，取得住房和城乡建设行政主管部门颁发的有效的建筑施工企业安全生产许可证，并在专业技术、人员组成及设备、资金、经验等方面具有相应的施工能力；无拖欠农民工工资劣迹。拟任项目经理资格的要求：须具备公路工程相关专业中级及以上职称，具有公路工程专业二级及以上注册建造师证书，并同时持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。拟任项目总工资格的要求：须具备公路工程相关专业中级及以上职称，持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。拟任专职安全生产管理员资格的要求：须具备公路工程相关专业初级及以上职称，具有住房和城乡建设行政主管部门或交通运输主管部门颁发的安全生产考核合格证书（C证），无在建项目。3.2与招标人存在利害关系可能影响招标公正性的单位，不得参加投标。3.3投标人具有下列情况之一的，不得同时参与投标，否则相关投标均无效：①单位负责人为同一人或者存在控股、管理关系的不同单位；②对招投标造成影响的具有投资参股关系的关联企业；③董事、监事、总经理、副总经理和财务负责人相互兼职的关联企业；④法律法规规章规定的具有关联关系的其他情形。3.4投标人受到有关行政,https://prec.sxzwfw.gov.cn/jyxxgczb/1055405.jhtml,暂无,晋辰建设工程有限公司、山西瑞天祥建设工程有限公司、山西君峰建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1064031.jhtml,晋辰建设工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064771.jhtml,暂无,阳高县2026年许家园—孤山村线、兴隆巷—花窑、下辛庄—长神线等7条线路农村公路改造工程施工(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055405.jhtml；阳高县2026年许家园—孤山村线、兴隆巷—花窑、下辛庄—长神线等7条线路农村公路改造工程施工(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1064031.jhtml
西贾北街雨水管网改造及排水通道打通工程（施工）(西贾北街雨水管网改造及排水通道打通工程（施工）第三标段),综改示范区,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,中冶天工集团有限公司、盛玖建设集团有限公司、大秦建设集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1062824.jhtml,中冶天工集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064768.jhtml,暂无,西贾北街雨水管网改造及排水通道打通工程（施工）(西贾北街雨水管网改造及排水通道打通工程（施工）第三标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1062824.jhtml
阳高县罗文皂—下梁源农村公路改造工程施工(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/13,2026-05-13 17:30   --     2026-05-20 17:30,001阳高县罗文皂—下梁源农村公路改造工程施工: 3.1 投标人资格能力要求：本次招标要求投标人应在中华人民共和国境内注册，持有有效的企业法人营业执照、须具备住房和城乡建设行政主管部门颁发的有效的公路工程施工总承包叁级及以上资质，并取得住房和城乡建设行政主管部门颁发的有效的建筑施工企业安全生产许可证，并在专业技术、人员组成及设备、资金、经验等方面具有相应的施工能力；无拖欠农民工工资劣迹。投标人拟派项目经理须具备公路工程相关专业中级及以上工程师技术职称，具有公路工程专业二级及以上注册建造师证书，并同时持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。 投标人拟派项目总工须具备公路工程相关专业中级及以上工程师技术职称，具有住房和城乡建设主管部门或交通运输主管部门颁发的安全生产考核合格证书（B证），无在建项目。 投标人拟配备的专职安全生产管理员须具备公路工程相关专业初级及以上职称，具有住房和城乡建设或交通运输主管部门颁发的安全生产考核合格证书（C证），无在建项目。3.2 与招标人存在利害关系可能影响招标公正性的单位，不得参加投标。3.3 投标人具有下列情况之一的，不得同时参与投标，否则相关投标均无效： ① 单位负责人为同一人或者存在控股、管理关系的不同单位；② 对招投标造成影响的具有投资参股关系的关联企业；③ 董事、监事、总经理、副总经理和财务负责人相互兼职的关联企业；④ 法律法规规章规定的具有关联关系的其他情形。3.4 投标人受到有关行政,https://prec.sxzwfw.gov.cn/jyxxgczb/1053581.jhtml,暂无,山西四建集团有限公司、太顺建设有限公司、山西建筑工程集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063237.jhtml,山西四建集团有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064757.jhtml,暂无,阳高县罗文皂—下梁源农村公路改造工程施工(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1053581.jhtml；阳高县罗文皂—下梁源农村公路改造工程施工(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063237.jhtml
大同市云州区党留庄乡上泉村基础设施建设以工代赈项目,山西省本级,2505-140215-89-05-393365,房屋市政,勘察;设计;施工;监理;,大同市云州区党留庄乡人民政府,委托发布,大同市云州区党留庄乡上泉村,上泉村村内街巷铺设污水管5631m，沿管网设置检查井;村内街巷硬化面积16700m2。,874.03（万元）,公开招标,大同市云州区农业农村局,山西亿兴项目管理有限公司,2026/05/18,2026年05月18日12时00分至2026年05月23日12时00分获取方法：通过“比比网电子招投标交易平台”（http://www.bitbid.cn）在线,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1055675.jhtml,暂无,太原市建工兴达工程有限公司、山西泽健胜建筑工程有限公司、山西日月峰建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgchxr/1063228.jhtml,太原市建工兴达工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064629.jhtml,暂无,大同市云州区党留庄乡上泉村基础设施建设以工代赈项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1051390.jhtml；大同市云州区党留庄乡上泉村基础设施建设以工代赈项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1055675.jhtml；大同市云州区党留庄乡上泉村基础设施建设以工代赈项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1063228.jhtml
浮山县2026年乡村振兴道路提升项目施工(3标段),临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064620.jhtml,暂无,暂无
浮山县2026年乡村振兴道路提升项目施工(1标段),临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西庆崴益德建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064619.jhtml,暂无,暂无
浮山县2026年乡村振兴道路提升项目施工(2标段),临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西扬盛建筑工程有限公司,https://prec.sxzwfw.gov.cn/jyxxgcgs/1064618.jhtml,暂无,暂无
