项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
平遥25处古城直管公房修缮工程,晋中市,2603-140728-89-01-509174,文物保护,施工,平遥县房产服务中心,自主发布,平遥古城内直管公房19处院落，包括:南巷35号、西湖景19号、马圈6号、砖圈门巷10号、仓巷43号、仓巷51号、沙巷46号、上西门79号、上西门108号、中壁景堡23号、北葫芦肚13号、火神庙27号、米粮市12号、米粮市40号、南大街27号、沙巷36号(2处)、沙巷42号(3处)、五道庙西巷4号(4处)和中沙院巷1号。,南巷35号等25处直管公房的拆除工程、台明及地面工程、墙体工程、木构件工程、木基层工程、木装修工程、屋面工程、院面及其他工程等内容，具体施工内容详见施工图纸及工程量清单。,1397.21（万元）,公开招标,平遥县文化和旅游局（文物保护）,平遥县房产服务中心,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,平遥25处古城直管公房修缮工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065084.jhtml
运城市人民医院新院10kV电力外线接入工程,运城市,2601-140800-89-01-964406,能源,施工,运城市人民医院,自主发布,运城市安邑东路与禹都大道交叉口东北角。,新建空港变电站至运城市人民医院 10kV线路3.2千米，新建汤里变电站至运城市人民医院10kV线路7.25千米及相关配套基础设施。,3259.04（万元）,公开招标,运城市能源局,运城市人民医院,2026年04月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,运城市人民医院新院10kV电力外线接入工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065055.jhtml
代县服务区重卡充电站工程,山西省本级,2606-140923-89-01-210805,交通,勘察;设计;施工;主要设备;重要材料,山西大成高速公路有限公司,自主发布,山西省(区市)忻州市 代县(区)枣林(镇)三家村（代县服务区）,南、北区各新建1250kVA箱变1台，分别配960kW充电堆1套，4桩8枪（含1台液冷桩，3台风冷桩），并配储能4套。,492.56（万元）,公开招标,代县能源局,山西大成高速公路有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,代县服务区重卡充电站工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065041.jhtml
浮山县养老康复中心建设项目,临汾市,2601-141027-89-01-128442,房屋市政,设计;施工;监理,浮山县民政和人力资源社会保 障局,自主发布,尧山东路与东环街交叉口东北角,"总建筑面积9537.89㎡，地上建筑面积9445.03㎡，包括养老康复中心主楼9353.23㎡,门房(含设备间)68.04㎡，氧气间23.76㎡;地下水泵房建筑面积92.86㎡,消防水池容积700m³,主要建设内容为建筑的土建、装饰及配套工程等。",6115.73（万元）,公开招标,浮山县城乡建设和交通运输局,浮山县民政和人力资源社会保 障局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,浮山县养老康复中心建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065008.jhtml
李村煤矿选煤厂 末煤系统改造工程,长治市,2603-140428-89-02-926057,能源,设计;施工;主要设备;重要材料,山西潞安矿业集团慈林山煤业有限公司李村煤矿,自主发布,长治市长子县大堡头镇南李村（李村煤矿矿区）,该项目不涉及新增用地，在现有主厂房新增 1 套末煤旋流器主洗系统、1 套粗煤泥干扰床分选系统、1 台加压过滤机；新建压滤车间，面积 1909㎡，安装3 台中压压滤机。,5848.96（万元）,公开招标,长子县能源局,山西潞安矿业集团慈林山煤业有限公司李村煤矿,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,李村煤矿选煤厂 末煤系统改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064971.jhtml
保德县沿黄公路污水干管(二号桥-污水厂)改造工程,忻州市,2605-140931-89-01-174116,房屋市政,设计;施工,保德县住房和城乡建设管理局,自主发布,保德县县城,本项目为保德县沿黄公路污水千管（二号桥-污水广）改造工程，长度4.25km。主要建设内容包括污水管道顶管工程及附属设施。,4868.02（万元）,公开招标,忻州市住房和城乡建设局,保德县住房和城乡建设管理局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,保德县沿黄公路污水干管(二号桥-污水厂)改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064937.jhtml
中电科(山西)微电子装备智能制造产业基地,综改示范区,2307-140171-89-01-886425,房屋市政,设计;施工,西北电子装备技术研究所（中国电子科技集团公司第二研究所）,自主发布,山西转型综合改革示范区(潇河产业园区)太原起步区(北区)B3-07-03-02地块。位置位于潇河园区大运东路以西，大运路以东，小牛线以北，北格街以南。,建设研发中心（办公楼）1栋、智能制造类厂房1栋、微电子类厂房2栋、三代半导体类厂房2栋、新能源类厂房2栋、产品制造厂房1栋、半导体智能装备类厂房1栋、艺星公司生产广房1栋、动力中心1栋、甲类库1栋、氢气站1栋、硅烷站1栋及大门门卫等配套设施，新购设备及仪器24台（套），建设半导体智能装备调试生产线、新能源装备调试生产线、微电子装备调试生产线。预计项自建成后年产三代半导体单晶生长设备等半导体智能制造装备、全自动共晶贴片机等微电子装备、全自动硅片上下料机等新能源装备1200台（套）。,80000.00（万元）,公开招标,山西转型综合改革示范区管理委员会建设与公用事业管理部,西北电子装备技术研究所（中国电子科技集团公司第二研究所）,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,中电科(山西)微电子装备智能制造产业基地|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064927.jhtml
山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目,山西省本级,2603-140853-89-01-200588,能源,设计;施工;监理,农发清洁能源(山西)有限公司,自主发布,山西省:运城市-稷山经济技术开发区,建设规模:利用稷山经济技术开发区现有企业屋顶总面积约830000M2。建设内容:建设分布式光伏发电总容量125MW，采用730WP单晶硅电池组件17万余块，消纳模式为自发自用，余电上网,31250.00（万元）,公开招标,稷山县能源局,农发清洁能源(山西)有限公司,2026/06/15,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065087.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064892.jhtml；山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目EPC总承包招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065088.jhtml；山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目EPC总承包监理招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065087.jhtml
武乡县蟠龙镇下型塘村崩塌地质灾害点治理工程,长治市,2602-140429-89-01-212280,国土资源,施工,武乡县自然资源局,自主发布,武乡县蟠龙镇下型塘村,该项目对下型塘村不稳定土质边坡进行防护治理，防护长度153.01m，防护高度0-21m，防护方式采用格构梁+锚索支护方式;其中:临时防护100m³，削坡1000m³，坡体回填3000m³，格构锚索4132m，坡面硬化1611㎡，护脚硬化37.5m³，坡底硬化759㎡等其他配套设施。,655.35（万元）,公开招标,长治市规划和自然资源局,武乡县自然资源局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,武乡县蟠龙镇下型塘村崩塌地质灾害点治理工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064890.jhtml
河东中学扩建项目,运城市,2606-140802-89-01-886715,房屋市政,施工,运城市盐湖区河东中学,自主发布,运城市盐湖区河东中学,"建设内容:项目在原校区新建1栋3层框架结构的教学楼，一座消防水池及泵房，配套建设管网、室外变压器及发电机组、室外管线衔接(高低压供电、弱电、给排水、消防、供暖)等基础设施。
建设规模:扩建后的初中部办学规模为4规制12个班。总建筑面积2723.9平方米，其中:教学楼2527.56平方米,消防水池及泵房196.34平方米(地上建筑面积37.82平方米，地下建筑面积158.52平方米)，硬化道路2000平方米",1427.73（万元）,公开招标,运城市盐湖区住房和城乡建设局,运城市盐湖区河东中学,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,河东中学扩建项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064887.jhtml
阳曲县2025年“千万工程”精品示范村建设项目,太原市,2510-140122-89-01-346684,房屋市政,施工,阳曲县农业农村局,委托发布,阳曲县侯村乡西龙庄村(含韩寨自然村)、高村乡高村村。,（一）侯村乡西龙庄村，村口绿化补植补栽140㎡，沥青路面600㎡，村口标识牌2组。韩寨村外立面改造6000㎡，村民文化广场铺装1500㎡、绿化补植补栽2800㎡，种植土换填2800m³，健身器材10套，花箱20套，村口标识牌1组，围墙1200m，围栏1000m，座椅10 套，路灯50套，沥青路面恢复19000 ㎡，人行道路面恢复14000 ㎡，DN32-DN110给水管线及配套7215m，DN300污水管线4400m，DN150 污水入户管1000m，污水检查井210座，污水处理站1座，产业中心及配套490㎡等。（二）高村乡高村村，DN300污水管6000m，DN400污水管1000m，检查井400座、化粪池3座、污水处理站1座、盖板式雨水沟建设1000m，沥青路面恢复36174㎡、人行道路面恢复15134㎡、主路两侧护坡300m等。,6051.21（万元）,公开招标,阳曲县住房和城乡建设局,山西积庆项目管理有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳曲县2025年“千万工程”精品示范村建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064873.jhtml
定襄县第二污水处理厂绿色低碳标杆化建设项目,忻州市,2605-140921-89-01-377141,房屋市政,勘察;设计;施工;监理;主要设备;重要材料,定襄县蒋村镇人民政府,自主发布,定襄县蒋村镇,日处理污水15000m3/d。新建进水井、粗格栅间及污水提升泵房、细格栅间及曝气沉砂池、调节池、AA0生化池与二沉淀池、深度处理车间（含磁混凝沉淀池与滤布滤池）、污泥脱水机房、污泥池、生物除臭系统、变配电室、巴氏计量槽、综合水池及回用水泵房；配套建设智慧水务、精准曝气、智能加药、厂区分布式光伏发电、污水源热泵供热系统；配套新建DN800进厂污水管道150m、DN800生态补水管道300m、八字出水口1座。,17051.09（万元）,公开招标,定襄县住房和城乡建设管理局,定襄县蒋村镇人民政府,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,定襄县第二污水处理厂绿色低碳标杆化建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064868.jhtml
兴县2025年较大规模自然村通硬化路建设项目,吕梁市,2506-141123-89-01-480149,交通,施工,兴县交通运输局,自主发布,兴县魏家滩镇、蔡家崖乡,"项目分批次实施，本次实施第一批项目：分为：杨家坪-魏家岔、白家沟-高家洼两条线路，拟投资836.18万元。
项目路线全长5.613km。主要工程内容包括路基工程、路面工程、防护工程、桥涵工程、交通安全设施等。",4485.26（万元）,公开招标,吕梁市交通运输局,兴县交通运输局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,兴县2025年较大规模自然村通硬化路建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064825.jhtml
五台县门限石乡大北沟片区农村人居环境整治项目,忻州市,2510-140922-89-01-926532,农业,设计;施工;监理,五台县住房和城乡建设管理局,自主发布,忻州市五台县门限石乡,本项目对五台县门限石乡大北沟村、湾子村、半佰麻村、化虎石村、榆树坪村5个村庄进行人居环境整治，包括村庄与村庄间沿线人居环境整治、各村内人居环境整治两大部分；主要建设内容包括道路、给水、雨水、污水、照明、环卫、河道治理、桥涵工程等基础设施以及农事服务中心、乡村e镇、停车场、标识标牌、健身器材、数字乡村等公共服务设施建设。,13491.09（万元）,公开招标,五台县农业农村局,五台县住房和城乡建设管理局,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,五台县门限石乡大北沟片区农村人居环境整治项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064818.jhtml
运城市盐湖区第十实验学校小学部教学楼建设项目,运城市,2606-140802-89-01-672083,房屋市政,施工,运城市盐湖区第十实验学校,自主发布,运城市盐湖区第十实验学校,建设内容:新建1栋4层教学楼，配套建设场地硬化、绿化、水、电、暖、围墙等基础设施。建设规模:扩建后的小学部新增4轨制，办学规模为10轨制，可容纳学生2700人。学校规划总占地面积为45051㎡(约合67.58亩)，本次项目总占地面积为4356㎡(约合6.53亩)，新建教学楼建筑面积为3920.92㎡，建筑物基底面积为980.23㎡，道路及场地硬化面积为1850.77㎡，绿地面积为1525㎡。,2000.00（万元）,公开招标,运城市盐湖区住房和城乡建设局,运城市盐湖区第十实验学校,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,运城市盐湖区第十实验学校小学部教学楼建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064811.jhtml
垣曲县后河水库排沙底洞控制闸阀改造工程,运城市,2605-140827-89-05-415690,水利,施工,运城市后河水库服务中心,自主发布,垣曲县历山镇后河村,1、更换排沙底洞控制阀室阀门2套，更换钢管段钢管及附属设备;2、增加阀门启闭远程控制系统，通过阀室出口远程操控;在阀室内安装监控设备。,655.09（万元）,公开招标,运城市水务局,运城市后河水库服务中心,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,垣曲县后河水库排沙底洞控制闸阀改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064809.jhtml
太原市热力集团集中供热城市生命线安全工程监理,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年06月15日19时00分至2026年06月21日19时00分发布的招标公告 获取方法：登录《全国公共资源交易平台（山西省·太原市）》（ggzy.xzs,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065107.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
潘庄泵站低浓度瓦斯综合利用项目总承包（EPC）,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年6月15日18时00分至2026年6月20日18时00分（北京时间，法定节假日、公休日正常获取文件）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065073.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
尧都区杨家庄集中供水保障提升工程勘察设计,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年6月16日00时00分至2026年6月23日23时59分    4.2电子招标文件获取方式：投标人在山西省公共资源交易主体信息库(http://jyz,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065051.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
恒大九年一贯制学校北侧规划路建设工程（设计）,综改示范区,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年6月16日8时00分至2026年6月24 日8时00分（北京时间，法定公休日、法定节假日不工作）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064974.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
阳泉市郊区西南舁乡西南舁村农村公路建设工程施工项目流标公告,阳泉市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064965.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
稷山县汾北城乡一体化供水工程监理二次,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064946.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
代县100MW风力发电项目总承包（EPC)监理,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年6月15日18时00分至2026年6月22日18时00分2．获取方法：凡有意参加投标者，请在上述文件获取时间内通过“比比网电子招投标交易平台”（htt,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064935.jhtml,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064635.jhtml,五凌代县100MW风力发电项目总承包（EPC)监理招标终止公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1064635.jhtml
国道208线怀仁王家堡至山阴薛圐圙段改扩建工程（怀仁段）电力线路改迁工程(1标段),朔州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026-06-15 15:00   --    2026-06-22 15:00 获取方法:  本项目投标人须办理CA数字证书，在公共资源交易市场主体库（ht,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064906.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
清徐县城乡供水一体化工程(一期)施工远传阀控水表设备采购,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年06月15日15时00分-2026年06月24日15时00分获取方法：登录《全国公共资源交易平台（山西省·太原市）》（ggzy.xzspglj.tai,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064903.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
清徐县城乡供水一体化工程(一期)施工水表井采购,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026年06月15日15时00分至2026年06月24日15时00分获取方法：登录《全国公共资源交易平台（山西省·太原市）》（ggzy.xzspglj.tai,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064902.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
浑源县2026年大洼项目区小流域综合治理提质增效项目(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026-06-15 18:00   --     2026-06-20 18:00,001浑源县2026年大洼项目区小流域综合治理提质增效项目: 3.1要求具有独立法人资格，具有水利水电工程施工总承包三级（含三级）以上资质，有效的安全生产许可证及营业执照，并在人员、设备、资金等方面具有相应的施工能力；3.2投标人拟派的项目经理须具备水利水电专业二级及以上注册建造师执业资格，具备有效的安全生产考核合格证书（B证），技术负责人须取得水利相关专业工程师及以上职称，且未担任其他在建工程的项目班子人员（提供近6个月内任意一次的社保（养老保险）缴费证明）；3.3财务要求：近三年财务状况良好，未被责令停业，无财产被接管或冻结情况。3.4信誉要求：（1）投标人在“信用中国”网站平台中未被列入严重失信主体名单；（2）投标人在“国家企业信用信息公示系统”中未被列入“严重违法失信名单”； (3)投标人及其法定代表人、拟委任的项目经理在近三年（2023年06月至投标截止时间）内无行贿犯罪行为（行贿犯罪行为的认定以《中国裁判文书网》的查询结果为准）(4)投标人在全国水利建设市场信用信息平台（https://rcpu.cweun.org/）未列入失信黑名单。3.5 与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标；  3.6单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标或者未划分标段的同一招标项目投标；3.7本标段不允许联合体投标。  本标段                 不允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1064893.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
2026年平城区“四好农村路”建设项目施工(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,2026-06-15 12:00   --     2026-06-23 12:00,0012026年平城区“四好农村路”建设项目施工: 3.1 投标人资格能力要求：本次招标要求投标人应在中华人民共和国境内注册，持有有效的企业法人营业执照、须具备住房和城乡建设行政主管部门颁发的有效的公路工程施工总承包叁级及以上资质，并取得住房和城乡建设行政主管部门颁发的有效的建筑施工企业安全生产许可证，并在专业技术、人员组成及设备、资金、经验等方面具有相应的施工能力；无拖欠农民工工资劣迹。投标人拟派项目经理须具备公路工程相关专业中级及以上工程师技术职称，具有公路工程专业二级及以上注册建造师证书，并同时持有住房和城乡建设行政主管部门或交通运输行政主管部门颁发的安全生产考核合格证书（B证），无在建项目。 投标人拟派项目总工须具备公路工程相关专业中级及以上工程师技术职称，具有住房和城乡建设主管部门或交通运输主管部门颁发的安全生产考核合格证书（B证），无在建项目。 投标人拟配备的专职安全生产管理员须具备公路工程相关专业初级及以上职称，具有住房和城乡建设或交通运输主管部门颁发的安全生产考核合格证书（C证），无在建项目。3.2 与招标人存在利害关系可能影响招标公正性的单位，不得参加投标。3.3 投标人具有下列情况之一的，不得同时参与投标，否则相关投标均无效： ① 单位负责人为同一人或者存在控股、管理关系的不同单位；② 对招投标造成影响的具有投资参股关系的关联企业；③ 董事、监事、总经理、副总经理和财务负责人相互兼职的关联企业；④ 法律法规规章规定的具有关联关系的其他情形。3.4 投标人受到有关行政,https://prec.sxzwfw.gov.cn/jyxxgczb/1064800.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
阳曲县城东新村城中村改造安置住房项目一期工程换热站、挡土墙等工程施工（不分标段）招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/27,2026年05月27日18时00分至2026年06月01日18时00 分获取方法：通过中招联合（山西）招标采购平台（http://shanxi.365trade,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1059773.jhtml,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064770.jhtml,阳曲县城东新村城中村改造安置住房项目一期工程换热站、挡土墙等工程施工（不分标段）招标终止公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1064770.jhtml；阳曲县城东新村城中村改造安置住房项目一期工程换热站、挡土墙等工程施工（不分标段）招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1060853.jhtml；阳曲县城东新村城中村改造安置住房项目一期工程换热站、挡土墙等工程施工（不分标段）招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1059773.jhtml
运城市排洪通道（姚暹渠盐湖段）改造工程互通项目,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/15,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064767.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西介休义棠青云煤业有限公司保水开采地面区域探查治理工程总承包项目,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/12,2026-06-12 22:00:00至2026-06-17 22:00:00（北京时间）（法定公休日、法定节假日不休息）4.2 文件获取方式：登录电子交易平台,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064608.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064613.jhtml,暂无,暂无,暂无,暂无,暂无,山西介休义棠青云煤业有限公司保水开采地面区域探查治理工程总承包项目招标变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1064613.jhtml
平定县娘子关提水工程老旧设备更新改造项目——五级六站机电设备部分——总干二站稀油润滑系统采购,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/12,2026年6月12日 19:00 至 2026年6月19日 19:00（节假日不休息）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064591.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
五台山站站前综合交通枢纽及相关市政配套项目（供电工程）设计(1标段)招标公告,忻州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/03,2026-06-04 00:00   --    2026-06-11 00:00 获取方法:  请通过忻州市公共资源交易工程建设招投标交易系统登录，获取地址为,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1061522.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1065074.jhtml,暂无,暂无,暂无,暂无,暂无,五台山站站前综合交通枢纽及相关市政配套项目（供电工程）设计(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1061522.jhtml
五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购二次招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/05/26,2026年5月26日17时00分至2026年6月1日17时00分（北京时间）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1058880.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1065020.jhtml,暂无,暂无,暂无,暂无,暂无,五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购二次招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1058880.jhtml
高平市南城办事处张庄村至七佛山道路提升工程招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/04,2026年06月04日18时00分至2026年06月09日18时00分(北京时间)(法定节假日、公休日正常报名),暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1062105.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064955.jhtml,暂无,暂无,暂无,暂无,暂无,高平市南城办事处张庄村至七佛山道路提升工程招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1064138.jhtml；高平市南城办事处张庄村至七佛山道路提升工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1062105.jhtml
中信机电能源科技(山西)有限公司220千伏变电站输配电线路项目220千伏线路施工二次,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064947.jhtml,暂无,暂无,暂无,暂无,暂无,暂无
柳林县华泰洗煤焦化有限公司50MW/44.168MWh独立储能电站项目（EPC总承包）二次招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064912.jhtml,暂无,暂无,暂无,暂无,暂无,暂无
山西省储备粮（夏县）直属库有限责任公司粮食绿色仓储提升改造项目,运城市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/12,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1064483.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1064904.jhtml,暂无,暂无,暂无,暂无,暂无,山西省储备粮（夏县）直属库有限责任公司粮食绿色仓储提升改造项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1064483.jhtml
