项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
柳泉村高标准温室大棚建设项目,山西省本级,2606-140525-89-05-634835,农业,施工;主要设备;重要材料,泽州县金村镇柳泉村股份经济合作社,委托发布,山西省晋城市泽州县金村镇柳泉村,项目占地73亩，新建1栋智能连栋温室大棚、6栋高标准日光温室大棚，年产果蔬可达50吨。,935.00（万元）,公开招标,泽州县农业农村局,山西正兴项目管理有限公司,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,柳泉村高标准温室大棚建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066757.jhtml
山西省贺龙中学餐厅、旧教学楼改扩建工程项目,吕梁市,2606-141100-89-01-494947,房屋市政,施工,山西省贺龙中学,委托发布,方山县大武镇大武一村(山西省贺龙中学校区),本项目主要分为餐厅拆除新建、旧教学楼加固改造两大工程内容。其中餐厅拆除新建工程：对原有建筑整体拆除，于原址新建4500平方米三层框架结构餐厅，并配套实施室外场地硬化，以及室外给排水、供电、供热、燃气等综合管线敷设工程。旧教学楼加固改造工程：一层拆除原有墙、地面结构，开挖至基础部位，采用3:7灰土分层回填完成危房加固处理；二、三层铺设环氧树脂自流平地面，铲除原有墙面面层并重 新涂刷内墙涂料及墙裙；整栋建筑一至三层更换教室门窗与屋面 设施。同步改造卫生间、给排水、暖通、电气及维修灯具。,2598.51（万元）,公开招标,方山县住房和城乡建设管理局,山西乾恒项目管理有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山西省贺龙中学餐厅、旧教学楼改扩建工程项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066717.jhtml
阳泉市桃河公园矿区段提质改造工程,阳泉市,2606-140303-89-01-169672,房屋市政,施工,阳泉市矿区住房和城乡建设局,自主发布,阳泉市桃河公园,"项目位于阳泉市桃河公园矿区段，宏成桥以西，赛鱼桥以东，全长约5km，改建面积4.07万平方米，主要建设内容包括:(1)体育健身服务类:。运动节点改造，包括:桃河公园北岸阳煤大桥西侧改造约2859m2(含乒乓球场1处、三人制篮球场1块、健身驿站1处);桃河公园南岸立交桥桃南口西侧改造约608m2(含门球场1块);桃河公园北岸虎尾沟人行桥西侧改造约150m(建健身驿站1处);桃河公园南岸虎尾沟人行桥西侧改造约150m2(建健身驿站1处);北岸立交桥下方改造约410m2(建亲子运动场地1处)。
提升现有步道，铺设彩色跑步道面层约20000m，同步更新路沿石约11000m。配套约330个文体宣传栏等附属设施，完善全民健身活动空间供给。(2)文化休憩服务类:主要包括浅水湾提升改造约2230m2、儿童活动区(原溜冰场)改造约1345m，聚焦市民文体休闲服务提升。(3)生态修复类:主要包括草坪更新约5000m’、地被更新约2000m2、绿化恢复约3000m2及人工湖循环中水利用。(4)配套设施更新:主要包括导视系统布设10个、便民置物架10个等便民设施配置，优化共享绿地配套功能;同步推进公厕提升改造2个、广场铺装翻新约2702m2、墙面维修修缮约285m、一级坝防护网升级约1200m，新增一处入口无障碍坡道，规整调整地下管线，拆除老旧灯具5131套完成整体设施更新完善;及更换水井盖60个、防盗门6个、治安岗亭7个等其他维修项目。",1264.00（万元）,公开招标,阳泉市住房和城乡建设局,阳泉市矿区住房和城乡建设局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳泉市桃河公园矿区段提质改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066648.jhtml
阳泉市桃河公园城区段提升改造工程项目,阳泉市,2606-140302-89-01-319988,房屋市政,施工,阳泉市城区住房和城乡建设局,自主发布,阳泉市桃河公园,"项目位于阳泉市桃河公园城区段，宏成桥以东，五渡桥以西，全长约4km，改建面积4.41万平方米，主要建设内容包括：
（1）体育健身服务类：
运动节点改造，包括：桃河公园北岸新泉桥下改造约432㎡（含三人制篮球场 1块）；桃河公园南岸桃源桥西侧改造约1616㎡（含标准篮球场1块、五人制足球场1块、建健身驿站1处）；桃河公园南岸西河滩入口广场改造约195㎡（三人制篮球场 1块）；桃河公园北岸保晋园入口西侧改造约150㎡（建健身驿站1处）；桃河公园北岸桃源桥东侧改造约150㎡（建亲子运动场地1处）。
提升现有步道，铺设彩色跑步道面层约16000㎡，同步更新路沿石约9000m。
配套约240个文体宣传栏等附属设施，完善全民健身活动空间供给。
（2）文化休憩服务类：主要包括亲水舞台提升改造约6784㎡、生态岛改造约3036㎡，聚焦市民文体休闲服务提升。
（3）生态修复类：主要包括草坪更新约7000㎡、地被更新约3000㎡、绿化恢复约1500㎡。
（4）配套设施更新：主要包括导视系统布设5个、便民置物架10个、共享绿地设施1项等便民设施配置，优化共享绿地配套功能；同步推进公厕提质改造5个、广场铺装翻新约4328㎡、墙面维修修缮约230㎡、一级坝防护网升级约300㎡，新增2处入口无障碍坡道，规整调整地下管线，拆除老旧灯具4198套完成整体设施更新完善；及更换水井盖60个、防盗门4个、治安岗亭5个等其他维修项目。",1235.55（万元）,公开招标,阳泉市住房和城乡建设局,阳泉市城区住房和城乡建设局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳泉市桃河公园城区段提升改造工程项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066647.jhtml
辛安泉长治经开区小水网配套工程,长治市,2606-140454-89-05-313483,房屋市政,勘察;设计;施工,长治经济技术开发区管委会,自主发布,山西省长治经济技术开发区（小山头村沿南环路向西至鼎新路，再沿鼎新路向南至储能项目西侧）,项目总投资6100.03万元。本次供水工程按管线工程和供水工程两部分设计，分期实施。近期实施管线工程，远期实施供水工程。 一期工程：本工程水源取自辛安泉供水长治支线隧洞出口，由规划小山头分水口引水。供水管线总长6383m，主干沿南环节南侧绿化带自东向西敷设，终点至原家庄村附件煤矿采空沉降区。其中穿越省级公路1处，城市道路1处，均采用顶管施工，管道主材为DN400球墨铸铁管。沿途共布置1座流量计井，2座检修阀井，4座分水阀井，8座排气阀井，2座排水阀井，1座调流阀井。 二期工程：新建2.1万平方米调蓄水池1座，配套供水支线，支线总长度12000m，结合沿线供水需求，支线管径采用300mm，管材优先选用球墨铸铁管。沿途共布置4座流量计井，5座检修阀井，20座排气阀井，4座排水阀井。,6100.03（万元）,公开招标,长治市住房和城乡建设局,长治经济技术开发区管委会,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,辛安泉长治经开区小水网配套工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066639.jhtml
霍州煤电集团河津五星煤业有限责任公司设备项目招标计划,山西省本级,0000-000000-00-00-000000,暂无,主要设备,霍州煤电集团河津五星煤业有限责任公司,委托发布,山西省河津市下化乡周家湾村五星煤业,即将采购矿用防爆锂离子蓄电池无轨胶轮车，空气源热泵机组、管控平台、探水钻机(定向)等设备项目,2766.00（万元）,公开招标,河津市能源局,山西焦煤集团招标有限公司,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,霍州煤电集团河津五星煤业有限责任公司设备项目招标计划变更公告|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066625.jhtml
山大附中晋源学校东侧规划路工程项目施工,太原市,2603-140100-89-01-585802,房屋市政,施工,太原市晋源区住房和城乡建设局,委托发布,太原市晋源区,山大附中晋源学校东侧规划路长度为482.601 米，道路规划红线宽15米，道路等级为城市支路。建设内容包含道路工程、排水工程、照明工程、电力管路工程、电信管路工程、交通工程、绿化工程等。,1356.36（万元）,公开招标,太原市住房和城乡建设局,山西泽悦工程管理有限公司,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山大附中晋源学校东侧规划路工程项目施工|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066581.jhtml
山煤集团河曲2×35万千瓦低热值煤发电项目招标计划,山西省本级,2016-140930-44-02-281960,能源,主要设备,山西煤炭进出口集团河曲能源有限公司,委托发布,山西省河曲县社粱乡,该项目建设规模为2X350MW超临界直接空冷机组，配2x1209t/h超临界循环流化床锅炉、一次中间再热、直接空冷抽汽凝汽式汽轮发电机组、空气冷却发电机，采用石灰石-湿法脱硫工艺，同步建设SNCR脱硝装置，预留SCR脱硝装置和湿式除尘装置等项目。即将施工山煤河曲2×350MW低热值煤发电工程厂外输煤系统低压动力电缆、控制电缆采购项目,333000.00（万元）,公开招标,山西省能源局,山西焦煤集团招标有限公司,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,山煤集团河曲2×35万千瓦低热值煤发电项目招标计划变更公告|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066570.jhtml
霍州煤电集团沁安煤电有限责任公司设备项目（安全监测监控系统设备、井下人员精确定位管理子系统及无线通信子系统设备）招标计划公告,山西省本级,2015-000291-06-02-500262,能源,主要设备,霍州煤电集团沁安煤电有限责任公司,委托发布,山西省长治市沁源县中峪乡,1、安全监测监控系统设备； 2、井下人员精确定位管理子系统及无线通信子系统设备等项目,800.00（万元）,公开招标,山西省能源局,山西焦煤集团招标有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,霍州煤电集团沁安煤电有限责任公司设备项目（安全监测监控系统设备、井下人员精确定位管理子系统及无线通信子系统设备）招标计划公告|https://prec.sxzwfw.gov.cn/jyxxzbjh/1066551.jhtml
山西省朔州市山阴县-朔城区县域充换电基础设施补短板试点项目朔城区部分(1标段),朔州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026-06-23 09:30   --    2026-06-28 09:30 获取方法:  本项目投标人须办理CA数字证书，在公共资源交易市场主体库（ht,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066764.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,山西省朔州市山阴县-朔城区县域充换电基础设施补短板试点项目朔城区部分(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066764.jhtml
