项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
长治市第十七中学校东校区建设项目勘察、初步设计,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026年6月22日至2026年7月13日,1、本次招标要求投标人须具有独立法人资格，具备有效的营业执照，并   在人员、设备、资金等方面具有相应的勘察、设计能力；   1.1 勘察资质：投标人须具备建设行政主管部门颁发的工程勘察综合资   质或工程勘察专业类（岩土工程(勘察)）乙级及其以上资质；   l.2 设计资质：投标人须具备建设行政主管部门颁发的工程设计综合资质   甲级或建筑行业（建筑工程）乙级及其以上资质；   2、投标人拟派项目总负责人须为本单位在职人员并具备相关专业高级职   称或相关专业注册类人员，可由项目勘察负责人或设计负责人担任，项目勘察   负责人须具备注册岩土工程师执业资格，项目设计负责人须具备相关专业高级   工程师职称或相关专业注册类人员。   3、投标截止时间前半年内任意一次缴纳社会保险凭证和任意一次纳税完   税证明（含项目班子成员明细表）、第三方出具的2025年度财务审计报告（如   是联合体各方均提供）。   4、投标人需提供自招标公告发布之日起至,https://prec.sxzwfw.gov.cn/jyxxgczb/1066744.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,长治市第十七中学校东校区建设项目勘察、初步设计招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066744.jhtml
汾西县白家河等肉鸡产业园区配套基础设施建设项目,临汾市,2603-141034-89-01-421042,交通,施工,汾西县农业农村局,自主发布,汾西县,白家河等8个肉鸡产业园区，进场道路沥青铺设硬化，路线总长6.114km。主要工程为路基工程、路面工程、沿线安全设施及其他工程。,578.73（万元）,公开招标,汾西县交通运输局,汾西县农业农村局,2026/06/22,电子招标文件获取时间：2026年06月23日00时00分至2026年06月29日23时59分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066723.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,汾西县白家河等肉鸡产业园区配套基础设施建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065370.jhtml；汾西县白家河等肉鸡产业园区配套基础设施建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1038620.jhtml；汾西县白家河等肉鸡产业园区配套基础设施建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1038532.jhtml；汾西县白家河等肉鸡产业园区配套基础设施建设项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066723.jhtml
古县农村道路修缮项目,临汾市,2602-141025-89-01-924165,交通,施工,古县交通运输局,委托发布,古县旧县镇、三合镇、南垣乡、岳阳镇、古阳镇,本项目共包含13条道路，总计52处需修缮路段。其中建设内容有:路基工程、路面工程、桥涵工程、交通安全设施等内容。,676.21（万元）,公开招标,临汾市交通运输局,中寰联珩建设咨询(山西)有限责任公司,2026/06/22,2026年06月23日00时00分至2026年06月29日23时59分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066722.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,古县农村道路修缮项目招标计划|https://prec.sxzwfw.gov.cn/jyxxzbjh/1046478.jhtml；古县农村道路修缮项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066722.jhtml
河上咀站220kV并网线路工程方案设计及初步设计,综改示范区,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026 年 06 月 23 日8时00分至 2026 年 06 月 30日8时00分（北京时间，法定公休日、法定节假日不工作）,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066720.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,河上咀站220kV并网线路工程方案设计及初步设计招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066720.jhtml
中北高新区上兰能源岛集中供热工程软水设备采购及服务,太原市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026年06月22日15时00分至2026年06月28日15时00分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066708.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,中北高新区上兰能源岛集中供热工程软水设备采购及服务招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066708.jhtml
山西晋城兴唐煤业有限公司车寨矿井矿建工程、部分土建工程及井下安装工程施工监理暂停公告,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066659.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,山西晋城兴唐煤业有限公司车寨矿井矿建工程、部分土建工程及井下安装工程施工监理暂停公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066659.jhtml
乡宁县环岛至鄂河桥段绿化带改造工程,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026年6月23日00时00分至 2026年6月29日23时59分    4.2电子招标文件获取方式：   投标人在山西省公共资源交易主体信息库(http:/,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066657.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,乡宁县环岛至鄂河桥段绿化带改造工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066657.jhtml
繁峙县2026年农村公路养护工程施工(1标段),忻州市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026-06-23 00:00   --    2026-06-30 00:00 获取方法:  请通过忻州市公共资源交易工程建设招投标交易系统登录，获取地址为,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066653.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
天镇县食用菌产业化集群(配套)项目(二期)(1标段),大同市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,2026-06-22 18:00   --     2026-06-29 18:00,001天镇县食用菌产业化集群(配套)项目(二期): 3.1 要求具有独立的法人资格，且具有建筑工程施工总承包叁级及以上资质和有效的安全生产许可证及营业执照，并在人员、设备、资金等方面具有相应的施工能力；3.2 投标人拟派项目经理须具备建筑工程专业贰级及以上注册建造师执业资格；具备有效的安全生产考核合格证书（B 证），且未担任其他在建工程的项目班子人员。3.3.1 与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标。3.3.2 单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标或者未划分标段的同一招标项目投标 本标段                 不允许             联合体投标。 四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1066604.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
绛县倗国路南延建设项目,运城市,2604-140826-89-05-967914,交通,施工,绛县交通运输局,自主发布,绛县古绛镇、陈村镇,"包括路线工程、路基路面工程、平面交叉工程、交通安全设施工程、照明工程、绿化工程等。
建设总里程2025m，采用二级公路技术标准，因K1+000~K1+400段受现有村道及X862县道现状标高限制，本项目设计速度采用40km/h，最大纵坡采用7%，同时在平面交叉口处增设交通安全设施，全线路基宽度24m，其中路面宽度12m，路面两侧分别设置3m宽人行道，人行道两侧分别设置3m宽绿化带，路面结构采用沥青混凝土路面。",1468.17（万元）,公开招标,运城市交通运输局,绛县交通运输局,2026/06/22,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066598.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066675.jhtml,暂无,暂无,暂无,暂无,暂无,绛县倗国路南延建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1049512.jhtml；绛县倗国路南延建设项目变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1066675.jhtml
垣曲县允西河灌区续建配套与现代化改造项目,运城市,2503-140827-89-05-110027,水利,施工;监理;主要设备,垣曲县水利局,自主发布,垣曲县古城镇,项目由渠首工程和干支渠输配水工程及灌区信息化建设组成。项目设计灌溉面积1.05万亩，规模为小（1）型。,1856.50（万元）,公开招标,运城市水务局,垣曲县水利局,2026/06/22,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066590.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,垣曲县允西河灌区续建配套与现代化改造项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1012891.jhtml；垣曲县允西河灌区续建配套与现代化改造项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/927241.jhtml
乡宁县2025年农村道路(村组道路)工程(一期)施工,临汾市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/22,电子招标文件获取时间：2026年06月23日00时00分至2026年06月29日23时59分,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1066564.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,暂无
武乡县新城区污水处理厂尾水人工湿地净化工程初步设计设计项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/16,2026 年 6 月 16日至 2026 年 7 月 8 日 09 时 30 分,3.1 本次招标要求：投标人须具有中华人民共和国境内独立法人资格，有效的企业营业执   照；工程设计综合资质甲级或工程设计市政行业乙级及以上资质或工程设计市政行业（排水   工程）专业乙级及以上资质，并在人员、设备方面具有相应的设计能力；投标人拟派项目负   责人须具备国家级注册公用设备工程师(给水排水)执业资格或高级工程师职称。   3.2 信誉要求：投标人须提供自招标公告发布之日起至投标截止时间前未被列入“信用中   国”网站失信被执行人、重大税收违法失信主体网页截图；自招标公告发布之日起至投标截   止时间前在“中国裁判文书网”自行查询的无行贿犯罪查询结果告知截图(查询企业、法定代   表人、项目负责人）。   3.3 财务要求：须具有 2025 年度财务审计报告；投标截止日期前最近一次缴纳社保金凭   证和个人参保缴费证明（须含项目负责人及项目班子成员，社保部门出具的正规社保凭证或   参保缴费证明为准）；企业投标截止日期前最近一次的缴纳税收完税证明。   3.4 与招标人存在利害关系可能影响招标公正性的法人、其他组织或者个人，单位负责人   为同一人或者存在控股、管理关系的不同单位不得同时参加本项目的投标。   3.5 本次招标不接受联合体投标。   3.6 本次招标采用资格后审。   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1065426.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066766.jhtml,暂无,暂无,暂无,暂无,暂无,武乡县新城区污水处理厂尾水人工湿地净化工程初步设计设计项目招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1065838.jhtml；武乡县新城区污水处理厂尾水人工湿地净化工程初步设计设计项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065426.jhtml
襄垣县朝阳新区电力工程,长治市,2601-140423-89-01-738832,房屋市政,施工,襄垣县市政园林服务中心,自主发布,襄垣县城区,"分别从110kV襄垣站引3回10kV供电线路、从110kV里信站引1回10kV供电线路至相应地块涉及的电力电缆及电力排管工程。主要新建电力电缆约20433米，电力排管约5774米，利用现状敷设长度约4376米；10kV供电线路所采用电力电缆截面为300mm2,电力通道规模采用2孔、6孔(3×2)、9孔(3×3) DN200/14mmMPP电力排管三种类型；配套新建电力人孔井约96座，2进4出终端环网柜(一二次融合型)4座。包括电力电缆、 电力排管、道路恢复等工程。",5692.05（万元）,公开招标,长治市襄垣县住房和城乡建设局,襄垣县市政园林服务中心,2026/06/09,2026年06月09日至2026年07月01日,3.1 本次招标要求投标人须具有效的营业执照、有效的安全生产许可证，具备行政主管部门核   发的市政公用工程贰级及以上资质和电力工程施工总承包叁级及以上资质，并在人员、设备、资金   等方面具有相应的施工能力；拟派本项目经理须为本单位注册的市政公用工程专业壹级或机电工程   专业壹级及以上注册建造师执业资格、具有有效的安全生产考核合格证书，且未担任其他在建工程   项目的项目经理；   3.2 投标人需具备投标截止时间前近半年内最近一次的缴纳社保凭证及社保明细（项目经理及   项目班子其他成员须在社保明细内），退休人员提供退休证明；   3.3 投标人须具有投标截止日期前近半年内企业连续三个月缴纳税收的完税凭证；   3.4 投标人须提供经会计师事务所或审计机构审计的 2025 年财务审计报告（投标人成立的时间   少于规定年份的，应提供成立以来的财务状况表）；   3.5 自招标公告发布之日起至投标截止之日投标人在经营活动中没有被列入失信被执行人名单、   重大税收违法失信主体，以“信用中国”（https://www.creditchina.gov.cn）网站查询结果为准；   3.6 自招标公告发布之日起至投标截止之日投标人需提供中国裁判文书网（https://wenshu.cour   t.gov.cn/）无行贿犯罪记录的查询页面截图（须查询企业、法定代表人、项目经理）；   3.7 与招标人存在利害关系可能影响招标公正性的单位，不得参加本项目的投标。单位负责人   为同一人或者存在控股、管理关系的不同单位，不得同时参与本项目同一标段的投标，否则相关投   标均无效；   3.8 本项目允许联合体投标，以联合体投标的，应满足下列要求：   3.8.1 联合体各方均应当具备承担招标项目各自分工部分的相应专业能力，并签署具有法律效   力的协议书，明确联合体牵头人，明确约定各方拟承担的工作和责任，联合体牵头人负责项目的全   过程综合管理和组织实施；   3.8.2 联合体各方不得再以自己的名义单独投标，也不得同时参加两个或两个以上的联合体投   标，出现上述情况者，其投标和与此有关的联合体的投标将被拒绝；   3.8.3 联合体中标后，联合体各方应当共同与招标人签订合同，为履行合同向招标人承担连带   责任；   四、,https://prec.sxzwfw.gov.cn/jyxxgczb/1063306.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066753.jhtml,暂无,暂无,暂无,暂无,暂无,襄垣县朝阳新区电力工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1035236.jhtml；襄垣县朝阳新区电力工程招标控制价|https://prec.sxzwfw.gov.cn/jyxxgczb/1064789.jhtml；襄垣县朝阳新区电力工程招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1063306.jhtml
长治市天晚集路等27条路雨污分流改造工程（第三标段）施工项目二次,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066709.jhtml,暂无,暂无,暂无,暂无,暂无,暂无
惠科阳曲200MW风力发电项目EPC总承包（一期）招标,山西省本级,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/10,"2026年6月10日19时00分至2026年6月15日19时00分4.2 获取方法:凡有意参加投标者,请在文件发售时间内通过“旺采山西交易平台”( sx.5ib",暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1063713.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066687.jhtml,暂无,暂无,暂无,暂无,暂无,惠科阳曲200MW风力发电项目EPC总承包（一期）招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1063713.jhtml
潞州区农村街巷户道路提档升级工程（大辛庄街道）施工项目,长治市,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,2026/06/18,2026年 06 月 18日至 2026年 07 月 09日,第一标段-第五标段   3.1本次招标要求投标人具有在中华人民共和国境内注册的独立法人资格和有   效的安全生产许可证，须具备公路工程施工总承包叁级及其以上资质，并在人员、   设备、资金等方面具有相应的施工能力；投标人在近五年（2021年 06月 01日至投   标截止时间通过交工或竣工验收，以竣（交）工验收报告时间为准）至少承担过 1   项四级及以上公路新（改、扩）建公路工程施工业绩；   注：①业绩证明材料以中标通知书、施工合同、竣工或交工验收报告的彩色影   印件及该项目在规定媒介或网站上发布的招标公告及中标结果公示网页截图。②公   路工程施工总承包一级及以上资质的投标人，应进入交通运输部“全国公路建设市   场监督管理系统（hwdms.mot.gov.cn）”中的公路工程施工资质企业名录，且投标   人名称和资质与该名录中的相应企业名称和资质完全一致；   3.2拟任项目经理须具有工程师及以上职称（公路工程相关专业），并持有本   单位注册的公路工程专业二级建造师注册证书及交通主管部门颁发的安全生产考核   合格证书（B证）；作为项目经理在近五年（2021年 06月 01日至投标截止时间通   过交工或竣工验收，以竣（交）工验收报告时间为准）至少完成过 1项四级及以上   公路新（改、扩）建公路工程施工业绩。   3.3项目总工须具有工程师及以上职称（公路工程相关专业），并持有交通主   管部门颁发的安全生产考核合格证书（B证）；作为项目总工在近五年（2021年 06   月 01日至投标截止时间通过交工或竣工验收，以竣（交）工验收报告时间为准）   至少完成过 1项四级及以上公路新（改、扩）建公路工程施工业绩。   3.4财务要求：投标人 2024年度或 2025年度的年末流动资产合计与流动负债   合计的比率不应小于 1；   3.5凡被交通运输部或山西省交通运输厅取消或暂停公路工程投标资格的施工   企业，在处罚期内无资格参与本项目的投标；   3.6与招标人存在利害关系且可能影响招标公正性的单位，不得参加本项目的   投标。单位负责人为同一人或者存在控股、管理关系的不同单位，及法律法规规定   的关联关系其他情形的，不得同时参与本项目的投标，否则相关投标均无效；   3.7在“信用中国”网站（http：//www.creditchina.gov.cn/）中被列入失信   被执行人名单的投标人，不得参加投标；投标人在国家企业信用信息公示系统   （http://www.gsxt.gov.cn/）中被列入严重违法失信企业名单的投标人，不得参   加投标；   3.8投标人及其法定代表人、拟委任的项目经理在近三年内（2023年 06月 01   日至,https://prec.sxzwfw.gov.cn/jyxxgczb/1066176.jhtml,https://prec.sxzwfw.gov.cn/jyxxgcgz/1066671.jhtml,暂无,暂无,暂无,暂无,暂无,潞州区农村街巷户道路提档升级工程（大辛庄街道）施工项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1066176.jhtml
