公告类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,公告历史
招标计划,【这个一条测试数据】-20260630-测试签章,交通,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,【这个一条测试数据】-20260630-测试签章|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069994.jhtml
招标计划,浑源西高速口至柳河桥道路安全照明工程,交通,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,浑源西高速口至柳河桥道路安全照明工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069929.jhtml；浑源西高速口至柳河桥道路安全照明工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069906.jhtml
招标计划,交城县地表水处理厂及管网配套设施建设工程,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,交城县地表水处理厂及管网配套设施建设工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069924.jhtml
招标计划,沁水中学餐厅宿舍楼提升改造项目,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,沁水中学餐厅宿舍楼提升改造项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069922.jhtml
招标计划,中部引黄孝义市市域配套水网工程,水利,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,中部引黄孝义市市域配套水网工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069847.jhtml
招标计划,【互联互通集成-test】预审-电子-交通勘察-项目名称,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,【互联互通集成-test】预审-电子-交通勘察-项目名称|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069793.jhtml
招标计划,泽州县金村镇2026年农村道路建设工程,交通,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,泽州县金村镇2026年农村道路建设工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069791.jhtml
招标计划,【互联互通集成-test】gt-邀请-电子-水利-设计,水利,邀请招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,【互联互通集成-test】gt-邀请-电子-水利-设计|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069787.jhtml
招标计划,天镇县洋河生态公园提质改造工程（一期）,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,天镇县洋河生态公园提质改造工程（一期）|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069707.jhtml；天镇县洋河生态|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069611.jhtml
招标计划,【互联互通集成-test】公开后审-电子-房建市政-施工-项目名称,工业,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,【互联互通集成-test】公开后审-电子-房建市政-施工-项目名称|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069706.jhtml
招标计划,长治市公安局屯留分局张店派出所业务用房建设项目二次,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,长治市公安局屯留分局张店派出所业务用房建设项目二次|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069700.jhtml
招标计划,山西粤能望方山100MW风力发电项目,能源,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,山西粤能望方山100MW风力发电项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069685.jhtml；山西粤能望方山100MW风力发电项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069674.jhtml
招标计划,【专家抽取集成】这是一个项目名称,房屋市政,邀请招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,【专家抽取集成】这是一个项目名称|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069650.jhtml
招标计划,浑源古城历史文化街区保护传承项目一期工程,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.6.30,山西省公共资源交易平台,浑源古城历史文化街区保护传承项目一期工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1069649.jhtml
