项目性质,项目名称,所属行业,组织形式,招标方式,招标编号/项目编号,招标条件/说明,中标人名称,中标价格,其他公示内容,监督部门,招标人/采购人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,发布日期,发布网站,详情页面
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(007标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定007第七标段的中标人如下:,天津满华管材有限公司,1178469.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:32,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015631405367787520
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(006标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定006第六标段的中标人如下:,山西骄威新能源有限公司,81380元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:30,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015631298836660224
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(005标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定005第五标段的中标人如下:,山西佰毅新能源有限公司,188309.3元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:27,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015631196550168576
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定004第四标段的中标人如下:,山西安赛科安全技术有限公司,109968元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:24,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015630941880418304
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(003标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定003第三标段的中标人如下:,浙江康帕斯流体技术股份有限公司,35851.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:21,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015630387187908608
依法,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251223,山西华新中昊盛天然气有限公司、临汾市华新城市燃气有限公司年度城网物资区域集采项目（招标编号：HXZB-HW20251223），确定002第二标段的中标人如下:,宁波市安邦管业有限公司,263980.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新中昊盛天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:19,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015629331330596864
依法,山西临县国新燃气有限公司年度城网、入户安装施工及零星维修施工中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20251225,山西临县国新燃气有限公司年度城网、入户安装施工及零星维修施工（招标编号：HXZB-GC20251225），确定001第一标段的中标人如下:,山西中泓建筑工程有限公司,151065.53元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西临县国新燃气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-26 11:58:16,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015621200227696640
依法,山西华新科莱天然气有限公司2026年天然气利用工程报警器装置采购中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251118,山西华新科莱天然气有限公司2026年天然气利用工程报警器装置采购（招标编号：HXZB-HW20251118），确定001第一标段的中标人如下:,济南蓝信电子设备有限公司,722761元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气产业集团有限公司,山西华新科莱天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-01-26 11:56:04,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2015599076054237184
依法,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目(008标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20251215,山西华新城市燃气集团有限公司下属5家单位年度城市管网项目物资区域集采项目（招标编号：HXZB-HW20251215），确定008第八标段的中标人如下:,温州鹏象管件有限公司,119477.1元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,清徐县凯通天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-01-23 10:24:07,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2014523731758645248
依法,山西燃气产业集团有限公司神原五分公司2026年度长输天然气管线、站场和阀室维护工程(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-GC20251222,山西燃气产业集团有限公司神原五分公司2026年度长输天然气管线、站场和阀室维护工程（招标编号：HXZB-GC20251222），确定002第二标段的中标人如下:,山东长龙三辉建设工程有限公司,37182.07元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西燃气产业集团有限公司,山西燃气产业集团有限公司神原五分公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,王挺、周文博,0351-2453225、2221733、2221755,2026-01-20 10:37:02,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2013439318492807168
